,Locality,Year,FIPS Code,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate,X__2
268,Bedford,2011,51019,OD Death,Fatal Prescription Opioid Overdose,NA,5.3,Central Virginia,8,3.1,Southwest,163,12,Near Southwest,71,7.2,Roanoke Area,56,7.5,Horizon Behavioral Health,8,3.1,VSP Division 6,57,7.4,Virginia State,496,6,77319
279,Bedford,2011,51019,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Horizon Behavioral Health,0,0,VSP Division 6,0,0,Virginia State,0,0,77319
284,Bland,2011,51021,ED,ED Heroin Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,6524
295,Bland,2011,51021,OD Death,Fatal Prescription Opioid Overdose,NA,29.3,Mount Rogers,30,15.6,Southwest,163,12,Far Southwest,92,24.9,Southwest,105,22.4,Mount Rogers Community Services Board,16,13.3,VSP Division 4,104,23,Virginia State,496,6,6524
305,Bland,2011,51021,ED,ED Opioid Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,6524
308,Bland,2011,51021,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,14.7,Mount Rogers,NA,0.5,Southwest,17,1.3,Far Southwest,NA,1.1,Southwest,6,1.3,Mount Rogers Community Services Board,NA,0.8,VSP Division 4,6,1.3,Virginia State,153,1.9,6524
319,Botetourt,2011,51023,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3,Alleghany,NA,1.1,Southwest,17,1.3,Near Southwest,13,1.3,Roanoke Area,12,1.6,Blue Ridge Behavioral Healthcare,6,2.4,VSP Division 6,12,1.6,Virginia State,153,1.9,33149
320,Botetourt,2011,51023,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,33149
323,Botetourt,2011,51023,OD Death,Fatal Prescription Opioid Overdose,NA,3,Alleghany,8,4.5,Southwest,163,12,Near Southwest,71,7.2,Roanoke Area,56,7.5,Blue Ridge Behavioral Healthcare,17,6.7,VSP Division 6,57,7.4,Virginia State,496,6,33149
334,Botetourt,2011,51023,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,33149
347,Brunswick,2011,51025,ED,ED Heroin Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Richmond,0,0,Southside Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,16435
358,Brunswick,2011,51025,ED,ED Opioid Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Richmond,0,0,Southside Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,16435
359,Brunswick,2011,51025,OD Death,Fatal Prescription Opioid Overdose,0,0,Southside,NA,3.5,Central,66,4.8,Central,66,4.8,Richmond,63,5,Southside Community Services Board,NA,3.5,VSP Division 5,86,4.8,Virginia State,496,6,16435
362,Brunswick,2011,51025,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Southside,0,0,Central,44,3.2,Central,44,3.2,Richmond,44,3.5,Southside Community Services Board,0,0,VSP Division 5,47,2.6,Virginia State,153,1.9,16435
373,Buchanan,2011,51027,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,4.2,Cumberland Plateau,NA,0.9,Southwest,17,1.3,Far Southwest,NA,1.1,Southwest,6,1.3,Cumberland Mountain Community Services,NA,1,VSP Division 4,6,1.3,Virginia State,153,1.9,22611
375,Buchanan,2011,51027,ED,ED Opioid Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22611
385,Buchanan,2011,51027,ED,ED Heroin Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22611
388,Buchanan,2011,51027,OD Death,Fatal Prescription Opioid Overdose,7,29.7,Cumberland Plateau,48,42.6,Southwest,163,12,Far Southwest,92,24.9,Southwest,105,22.4,Cumberland Mountain Community Services,40,41.2,VSP Division 4,104,23,Virginia State,496,6,22611
395,Buckingham,2011,51029,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,17048
400,Buckingham,2011,51029,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,44,3.2,Central,44,3.2,Central Virginia,5,0.7,Crossroads Community Services Board,0,0,VSP Division 3,NA,0.5,Virginia State,153,1.9,17048
402,Buckingham,2011,51029,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,17048
418,Buckingham,2011,51029,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,NA,1.9,Central,66,4.8,Central,66,4.8,Central Virginia,27,3.6,Crossroads Community Services Board,NA,1.9,VSP Division 3,23,3.6,Virginia State,496,6,17048
423,Campbell,2011,51031,ED,ED Heroin Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,55158
427,Campbell,2011,51031,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1.8,Central Virginia,NA,0.8,Southwest,17,1.3,Near Southwest,13,1.3,Central Virginia,5,0.7,Horizon Behavioral Health,NA,0.8,VSP Division 3,NA,0.5,Virginia State,153,1.9,55158
433,Campbell,2011,51031,ED,ED Opioid Overdose,0,0,Central Virginia,0,0,Southwest,0,0,Near Southwest,0,0,Central Virginia,0,0,Horizon Behavioral Health,0,0,VSP Division 3,0,0,Virginia State,0,0,55158
446,Campbell,2011,51031,OD Death,Fatal Prescription Opioid Overdose,NA,1.8,Central Virginia,8,3.1,Southwest,163,12,Near Southwest,71,7.2,Central Virginia,27,3.6,Horizon Behavioral Health,8,3.1,VSP Division 3,23,3.6,Virginia State,496,6,55158
454,Caroline,2011,51033,ED,ED Opioid Overdose,0,0,Rappahannock,0,0,Northwest,0,0,Northern,0,0,Culpeper,0,0,Rappahannock Area Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,29889
455,Caroline,2011,51033,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Rappahannock,NA,0.6,Northwest,23,1.8,Northern,23,0.9,Culpeper,17,2.6,Rappahannock Area Community Services Board,NA,0.6,VSP Division 1,44,3.3,Virginia State,153,1.9,29889
469,Caroline,2011,51033,OD Death,Fatal Prescription Opioid Overdose,NA,7,Rappahannock,15,4.5,Northwest,85,6.8,Northern,105,3.9,Culpeper,62,9.6,Rappahannock Area Community Services Board,15,4.5,VSP Division 1,69,5.1,Virginia State,496,6,29889
471,Caroline,2011,51033,ED,ED Heroin Overdose,0,0,Rappahannock,0,0,Northwest,0,0,Northern,0,0,Culpeper,0,0,Rappahannock Area Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,29889
478,Carroll,2011,51035,OD Death,Fatal Prescription Opioid Overdose,NA,3.3,Mount Rogers,30,15.6,Southwest,163,12,Near Southwest,71,7.2,Southwest,105,22.4,Mount Rogers Community Services Board,16,13.3,VSP Division 4,104,23,Virginia State,496,6,29767
479,Carroll,2011,51035,ED,ED Heroin Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,29767
484,Carroll,2011,51035,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Mount Rogers,NA,0.5,Southwest,17,1.3,Near Southwest,13,1.3,Southwest,6,1.3,Mount Rogers Community Services Board,NA,0.8,VSP Division 4,6,1.3,Virginia State,153,1.9,29767
487,Carroll,2011,51035,ED,ED Opioid Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,29767
507,Charles City,2011,51036,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Chickahominy,6,4,Central,44,3.2,Central,44,3.2,Richmond,44,3.5,Henrico Area Mental Health and Developmental Services,8,2.4,VSP Division 1,44,3.3,Virginia State,153,1.9,7022
518,Charles City,2011,51036,ED,ED Opioid Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,7022
524,Charles City,2011,51036,ED,ED Heroin Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,7022
530,Charles City,2011,51036,OD Death,Fatal Prescription Opioid Overdose,NA,27.6,Chickahominy,7,4.7,Central,66,4.8,Central,66,4.8,Richmond,63,5,Henrico Area Mental Health and Developmental Services,19,5.6,VSP Division 1,69,5.1,Virginia State,496,6,7022
537,Charlotte,2011,51037,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,12176
541,Charlotte,2011,51037,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,12176
544,Charlotte,2011,51037,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,44,3.2,Central,44,3.2,Central Virginia,5,0.7,Crossroads Community Services Board,0,0,VSP Division 3,NA,0.5,Virginia State,153,1.9,12176
554,Charlotte,2011,51037,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,NA,1.9,Central,66,4.8,Central,66,4.8,Central Virginia,27,3.6,Crossroads Community Services Board,NA,1.9,VSP Division 3,23,3.6,Virginia State,496,6,12176
566,Chesterfield,2011,51041,OD Death,Fatal Fentanyl and/or Heroin Overdose,10,3.1,Chesterfield,10,2.7,Central,44,3.2,Central,44,3.2,Richmond,44,3.5,Chesterfield Community Services Board,10,3.1,VSP Division 1,44,3.3,Virginia State,153,1.9,335594
573,Chesterfield,2011,51041,OD Death,Fatal Prescription Opioid Overdose,12,3.7,Chesterfield,17,4.6,Central,66,4.8,Central,66,4.8,Richmond,63,5,Chesterfield Community Services Board,12,3.7,VSP Division 1,69,5.1,Virginia State,496,6,335594
577,Chesterfield,2011,51041,ED,ED Heroin Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Chesterfield Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,335594
580,Chesterfield,2011,51041,ED,ED Opioid Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Chesterfield Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,335594
595,Clarke,2011,51043,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,7,Lord Fairfax,12,5.3,Northwest,23,1.8,Northwest,21,2.5,Culpeper,17,2.6,Northwestern Community Services,12,5.3,VSP Division 2,18,2.2,Virginia State,153,1.9,14331
605,Clarke,2011,51043,ED,ED Heroin Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,14331
608,Clarke,2011,51043,OD Death,Fatal Prescription Opioid Overdose,NA,7,Lord Fairfax,29,12.9,Northwest,85,6.8,Northwest,63,7.4,Culpeper,62,9.6,Northwestern Community Services,29,12.9,VSP Division 2,64,8,Virginia State,496,6,14331
611,Clarke,2011,51043,ED,ED Opioid Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,14331
624,Craig,2011,51045,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Alleghany,NA,1.1,Southwest,17,1.3,Near Southwest,13,1.3,Roanoke Area,12,1.6,Blue Ridge Behavioral Healthcare,6,2.4,VSP Division 6,12,1.6,Virginia State,153,1.9,5131
630,Craig,2011,51045,OD Death,Fatal Prescription Opioid Overdose,0,0,Alleghany,8,4.5,Southwest,163,12,Near Southwest,71,7.2,Roanoke Area,56,7.5,Blue Ridge Behavioral Healthcare,17,6.7,VSP Division 6,57,7.4,Virginia State,496,6,5131
643,Craig,2011,51045,ED,ED Opioid Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,5131
644,Craig,2011,51045,ED,ED Heroin Overdose,0,0,Alleghany,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Blue Ridge Behavioral Healthcare,0,0,VSP Division 6,0,0,Virginia State,0,0,5131
651,Culpeper,2011,51047,ED,ED Heroin Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,49795
662,Culpeper,2011,51047,OD Death,Fatal Prescription Opioid Overdose,NA,6.3,Rappahannock Rapidan,18,10.7,Northwest,85,6.8,Northwest,63,7.4,Culpeper,62,9.6,Rappahannock-Rapidan Community Services Board,18,10.7,VSP Division 2,64,8,Virginia State,496,6,49795
666,Culpeper,2011,51047,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Rappahannock Rapidan,NA,1.8,Northwest,23,1.8,Northwest,21,2.5,Culpeper,17,2.6,Rappahannock-Rapidan Community Services Board,NA,1.8,VSP Division 2,18,2.2,Virginia State,153,1.9,49795
669,Culpeper,2011,51047,ED,ED Opioid Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,49795
678,Cumberland,2011,51049,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,NA,1.9,Central,66,4.8,Central,66,4.8,Central Virginia,27,3.6,Crossroads Community Services Board,NA,1.9,VSP Division 3,23,3.6,Virginia State,496,6,9797
689,Cumberland,2011,51049,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,44,3.2,Central,44,3.2,Central Virginia,5,0.7,Crossroads Community Services Board,0,0,VSP Division 3,NA,0.5,Virginia State,153,1.9,9797
697,Cumberland,2011,51049,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,9797
698,Cumberland,2011,51049,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,9797
709,Dickenson,2011,51051,ED,ED Opioid Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Dickenson County Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,15181
718,Dickenson,2011,51051,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Cumberland Plateau,NA,0.9,Southwest,17,1.3,Far Southwest,NA,1.1,Southwest,6,1.3,Dickenson County Behavioral Health Services,0,0,VSP Division 4,6,1.3,Virginia State,153,1.9,15181
722,Dickenson,2011,51051,OD Death,Fatal Prescription Opioid Overdose,8,50.8,Cumberland Plateau,48,42.6,Southwest,163,12,Far Southwest,92,24.9,Southwest,105,22.4,Dickenson County Behavioral Health Services,8,50.8,VSP Division 4,104,23,Virginia State,496,6,15181
724,Dickenson,2011,51051,ED,ED Heroin Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Dickenson County Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,15181
738,Dinwiddie,2011,51053,ED,ED Opioid Overdose,0,0,Crater,0,0,Central,0,0,Central,0,0,Richmond,0,0,District 19 Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,28033
740,Dinwiddie,2011,51053,OD Death,Fatal Prescription Opioid Overdose,0,0,Crater,NA,1.9,Central,66,4.8,Central,66,4.8,Richmond,63,5,District 19 Community Services Board,5,2.9,VSP Division 1,69,5.1,Virginia State,496,6,28033
